name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
New York Queens,2023-09-01T00:00:00,19.6,19.6,9.2,51.26,0,0,,0,0,33.1,13.3,29,1019.9,22.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-01T01:00:00,19.3,19.3,8.7,50.14,0,0,,0,0,33.1,16.9,30,1020.8,47.1,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-01T02:00:00,18.7,18.7,7.6,48.59,0,0,,0,0,33.1,19,31,1021.5,22.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-01T03:00:00,17.8,17.8,7.7,51.37,0,0,,0,0,29.9,18.6,25,1021.9,22.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-01T04:00:00,17.1,17.1,8.1,55.34,0,0,,0,0,28.8,12.1,20,1022.3,22.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-01T05:00:00,16.8,16.8,7.8,55.57,0,0,,0,0,28.4,18.9,20,1022.7,22.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-01T06:00:00,16.3,16.3,8.1,58.5,0,0,,0,0,28.8,12.7,24,1023.4,22.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-01T07:00:00,16.2,16.2,8.2,59.27,0,0,,0,0,28.4,14.7,20,1024,22.8,16,63,0.2,1,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-01T08:00:00,17.1,17.1,8.4,56.64,0,0,,0,0,28.8,17.5,38,1024.3,22.8,16,257,0.9,3,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-01T09:00:00,18.5,18.5,8.8,53.35,0,0,,0,0,29.2,17.8,35,1024.8,22.8,16,429,1.5,4,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-01T10:00:00,20.1,20.1,9.1,49.12,0,0,,0,0,28.8,15,35,1025.5,22.8,16,582,2.1,6,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-01T11:00:00,21.3,21.3,9.2,46.05,0,0,,0,0,27,16.8,46,1026.1,22.8,16,689,2.5,7,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-01T12:00:00,22.2,22.2,9.2,43.33,0,0,,0,0,24.8,15.1,50,1026.1,22.8,16,759,2.7,8,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-01T13:00:00,22.6,22.6,8.2,39.45,0,0,,0,0,22.3,10.6,38,1026,10.6,16,771,2.8,8,,Clear,clear-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-01T14:00:00,23.4,23.4,7.9,37.1,0,0,,0,0,20.5,13.2,69,1025.9,10.6,16,733,2.6,7,,Clear,clear-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-01T15:00:00,23,23,10.1,44.04,0,0,,0,0,19.4,11.2,98,1025.4,22.8,16,633,2.3,6,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-01T16:00:00,23,23,9.9,43.46,0,0,,0,0,17.6,9.3,116,1024.9,22.8,16,496,1.8,5,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-01T17:00:00,22.8,22.8,10.3,44.98,0,0,,0,0,15.8,15.4,94,1024.7,10.6,16,325,1.2,3,,Clear,clear-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-01T18:00:00,22.1,22.1,11,49.41,0,0,,0,0,13.3,12.3,142,1024.3,10.6,16,142,0.5,1,,Clear,clear-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-01T19:00:00,20.7,20.7,11.9,57.16,0,0,,0,0,14.4,12.4,151,1024.5,0,16,16,0.1,0,,Clear,clear-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-01T20:00:00,19.3,19.3,12,62.48,0,0,,0,0,16.2,11.6,146,1024.7,12.2,16,0,0,0,,Clear,clear-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-01T21:00:00,18.7,18.7,12.2,66,0,0,,0,0,17.6,10.4,175,1024.8,12.2,16,0,0,0,,Clear,clear-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-01T22:00:00,18.4,18.4,12.5,68.18,0,0,,0,0,17.6,9.4,346,1025,12.2,16,0,0,0,,Clear,clear-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-01T23:00:00,18.3,18.3,12.2,67.41,0,0,,0,0,16.9,9.5,205,1025,0,16,0,0,0,,Clear,clear-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-02T00:00:00,18.3,18.3,12,66.44,0,0,,0,0,16.6,10,214,1025.1,0,16,0,0,0,,Clear,clear-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-02T01:00:00,18.1,18.1,12.3,68.73,0,0,,0,0,15.8,10.5,214,1025,0,16,0,0,0,,Clear,clear-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-02T02:00:00,18.1,18.1,12.7,70.65,0,0,,0,0,15.1,9.2,236,1024.8,0,16,0,0,0,,Clear,clear-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-02T03:00:00,17.9,17.9,12.5,70.74,0,0,,0,0,15.8,8.2,254,1024.3,0,16,0,0,0,,Clear,clear-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-02T04:00:00,17.7,17.7,12.2,69.8,0,0,,0,0,16.2,13.1,254,1024.1,0,16,0,0,0,,Clear,clear-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-02T05:00:00,17.5,17.5,11.9,69.61,0,0,,0,0,15.8,9,273,1024.2,0,16,0,0,0,,Clear,clear-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-02T06:00:00,17.1,17.1,11.9,71.47,0,0,,0,0,15.5,4.6,295,1024.1,22.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-02T07:00:00,17.2,17.2,11.8,70.57,0,0,,0,0,15.1,3.7,303,1024.2,22.8,16,60,0.2,1,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-02T08:00:00,19.1,19.1,12.1,63.94,0,0,,0,0,16.6,8,255,1024.3,10.6,16,225,0.8,2,,Clear,clear-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-02T09:00:00,20.3,20.3,11.5,56.95,0,0,,0,0,17.6,8.5,274,1024,22.8,16,397,1.4,4,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-02T10:00:00,21.5,21.5,11,51.18,0,0,,0,0,19.8,12.4,231,1023.4,22.8,16,555,2,6,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-02T11:00:00,22.3,22.3,11.9,51.72,0,0,,0,0,22,13,214,1023.2,22.8,16,617,2.2,6,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-02T12:00:00,23.3,23.3,12.3,49.86,0,0,,0,0,22.7,13.9,214,1022.5,22.8,16,747,2.7,7,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-02T13:00:00,24.3,24.3,12.8,48.84,0,0,,0,0,27.7,12.2,214,1021.5,41.8,16,835,3,8,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-02T14:00:00,24.7,24.7,13,48.04,0,0,,0,0,27.7,16.4,190,1020.9,74.3,16,457,1.6,5,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-02T15:00:00,24.5,24.5,13.7,51.26,0,0,,0,0,33.5,20.2,180,1019.9,74.3,16,603,2.2,6,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-02T16:00:00,24.2,24.2,13.7,52.2,0,0,,0,0,29.9,22.3,159,1019.3,74.3,16,490,1.8,5,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-02T17:00:00,23.4,23.4,14.5,57.4,0,0,,0,0,31.7,22.5,190,1019.2,74.3,16,360,1.3,4,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-02T18:00:00,22.9,22.9,14.6,59.43,0,0,,0,0,33.5,22.4,179,1018.7,74.3,16,105,0.4,1,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-02T19:00:00,22.2,22.2,15.2,64.47,0,0,,0,0,34.2,20,164,1018.5,74.3,16,18,0.1,0,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-02T20:00:00,21.5,21.5,15.5,68.43,0,0,,0,0,33.1,17.6,204,1018.3,74.3,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-02T21:00:00,21.5,21.5,16,70.69,0,0,,0,0,32.4,16.8,204,1018,74.3,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-02T22:00:00,21.4,21.4,15.9,70.67,0,0,,0,0,31.7,17,201,1018,74.3,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-02T23:00:00,21.5,21.5,15.7,69.4,0,0,,0,0,29.5,15.8,209,1017.9,59,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-03T00:00:00,21.5,21.5,16,70.69,0,0,,0,0,26.6,16.5,205,1016.8,74.3,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-03T01:00:00,21.5,21.5,16.1,71.17,0,0,,0,0,25.6,14,234,1017.2,82.5,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-03T02:00:00,21.2,21.2,16.1,72.54,0,0,,0,0,23.8,17.5,224,1016.9,67.9,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-03T03:00:00,20.9,20.9,16.1,74.08,0,0,,0,0,22.3,14.2,224,1016.3,59,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-03T04:00:00,20.6,20.6,16.6,77.67,0,0,,0,0,22.7,13,229,1015.8,50,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-03T05:00:00,20.6,20.6,16.6,77.82,0,0,,0,0,22,13,224,1015.5,50,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-03T06:00:00,20.4,20.4,16.6,78.62,0,0,,0,0,21.2,12.1,234,1015.4,41.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-03T07:00:00,20.2,20.2,16.6,79.8,0,0,,0,0,22,13.8,229,1015.5,41.8,16,26,0.1,0,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-03T08:00:00,21.9,21.9,17.1,74.01,0,0,,0,0,23.4,9.8,240,1015.5,65.3,16,95,0.3,1,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-03T09:00:00,22.7,22.7,16.9,70.01,0,0,,0,0,23,9,260,1015.8,57,16,285,1,3,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-03T10:00:00,24.8,24.8,17.7,64.47,0,0,,0,0,21.2,4.2,308,1015.4,41.8,16,538,1.9,5,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-03T11:00:00,26.4,26.4,18.2,60.81,0,0,,0,0,19.4,7.7,300,1015,41.8,16,656,2.4,7,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-03T12:00:00,28.2,29.1,18,54.08,0,0,,0,0,19.4,12.4,258,1014.1,31.8,16,710,2.6,7,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-03T13:00:00,29.3,29.9,17.5,49.24,0,0,,0,0,19.1,11.8,248,1013.3,31.8,16,728,2.6,7,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-03T14:00:00,30.2,30.4,16.7,44.39,0,0,,0,0,22,14.2,232,1012.7,22.8,16,689,2.5,7,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-03T15:00:00,30.9,30.9,16.2,41.35,0,0,,0,0,33.5,21.1,251,1011.9,22.8,16,589,2.1,6,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-03T16:00:00,31.2,31.6,17.2,43.37,0,0,,0,0,23,20.1,272,1011,22.8,16,461,1.7,5,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-03T17:00:00,31.5,32.3,17.9,44.49,0,0,,0,0,22.3,11.9,320,1010.9,56.4,16,306,1.1,3,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-03T18:00:00,30.1,31.2,18.7,50.6,0,0,,0,0,20.9,10.1,259,1010.8,46.3,16,135,0.5,1,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-03T19:00:00,28.1,29.5,19.3,58.83,0,0,,0,0,14.8,12.1,262,1010.8,41.8,16,9,0,0,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-03T20:00:00,27.3,28.6,19.1,60.66,0,0,,0,0,9.7,12.5,269,1011,41.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-03T21:00:00,27,28.3,19.2,62.18,0,0,,0,0,9,11.1,258,1011.4,57,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-03T22:00:00,27.4,28.7,19.2,60.86,0,0,,0,0,7.6,15.4,282,1011.5,41.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-03T23:00:00,27.2,28.5,19.4,62.37,0,0,,0,0,7.2,13.4,285,1011.9,41.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-04T00:00:00,25.9,25.9,19.4,67.41,0,0,,0,0,4.7,8.6,297,1012.1,41.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-04T01:00:00,26.2,26.2,19,64.46,0,0,,0,0,3.6,7.9,324,1011.9,41.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-04T02:00:00,25.6,25.6,19,67.07,0,0,,0,0,4.7,5.3,327,1011.6,41.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-04T03:00:00,25.1,25.1,19.8,72.55,0,0,,0,0,11.5,4.5,288,1011.3,41.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-04T04:00:00,24.3,24.3,19.8,75.91,0,0,,0,0,10.8,0.9,344,1011.4,41.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-04T05:00:00,23.6,23.6,20.3,81.57,0,0,,0,0,10.1,4.1,337,1011.4,41.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-04T06:00:00,23.6,23.6,20,79.98,0,0,,0,0,8.6,4.2,320,1011.5,41.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-04T07:00:00,24,24,19.8,77.29,0,0,,0,0,9,6.3,65,1011.5,59,16,56,0.2,1,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-04T08:00:00,25.1,25.1,19.3,70.38,0,0,,0,0,11.2,13.7,319,1012.2,63.6,15.2,42,0.2,0,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-04T09:00:00,25.4,25.4,19.3,68.84,0,0,,0,0,12.6,13.3,338,1011.7,74.3,16,56,0.2,1,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-04T10:00:00,25,25,20,73.8,0,0,,0,0,14.8,6.3,35,1011.4,65.3,16,380,1.4,4,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-04T11:00:00,27.8,29.1,19.4,60.33,0,0,,0,0,15.1,7.1,327,1011.7,74.3,16,274,1,3,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-04T12:00:00,29.7,31.7,20.2,56.62,0,0,,0,0,14.8,9.2,319,1011.7,65.3,16,507,1.8,5,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-04T13:00:00,28.6,30.3,20,59.7,0,0,,0,0,14.4,12.6,288,1011,65.3,16,264,1,3,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-04T14:00:00,29.1,31.1,20.3,59.1,0,0,,0,0,15.5,3.9,283,1010.6,74.3,16,540,1.9,5,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-04T15:00:00,27.5,29.4,20.8,67.15,0,0,,0,0,29.5,6.5,33,1010.6,78.8,16,151,0.5,2,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-04T16:00:00,29.2,31.7,21.1,61.44,0,0,,0,0,15.5,3.7,275,1010.4,74.3,16,350,1.3,4,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-04T17:00:00,30.3,32.5,20.6,56.19,0,0,,0,0,16.9,10.2,273,1009.9,59,16,265,1,3,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-04T18:00:00,30.5,33.2,21.1,57.14,0,0,,0,0,17.3,6.3,309,1010,41.8,16,104,0.4,1,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-04T19:00:00,29,31.5,21.2,62.46,0,0,,0,0,15.8,9.9,102,1010.4,73.7,16,12,0,0,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-04T20:00:00,28.3,30.3,20.6,63.28,0,0,,0,0,15.8,10.3,110,1011.1,90.7,16,0,0,0,,Overcast,cloudy,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-04T21:00:00,27.8,29.9,20.8,65.75,0,0,,0,0,13,7.1,333,1011.6,90.7,16,0,0,0,,Overcast,cloudy,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-04T22:00:00,26.7,28.3,20.7,69.86,0,0,,0,0,8.6,5.4,299,1011.6,57,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-04T23:00:00,27,28.7,20.5,67.86,0,0,,0,0,8.6,3.3,348,1011.6,47.1,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-05T00:00:00,26.2,26.2,20.8,72.53,0,0,,0,0,10.4,3.3,354,1011.8,31.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-05T01:00:00,25.7,25.7,21.1,75.78,0,0,,0,0,13.3,0,0,1011.9,31.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-05T02:00:00,24.9,24.9,21.4,80.8,0,0,,0,0,15.1,2.4,35,1012,64.7,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-05T03:00:00,25.4,25.4,21.4,78.56,0,0,,0,0,11.9,7,28,1012.2,59,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-05T04:00:00,25,25,21.2,79.07,0,0,,0,0,13,7,15,1012.3,59,16,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-05T05:00:00,24.7,24.7,21.2,80.51,0,0,,0,0,14,7.7,331,1012.5,59,15.7,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-05T06:00:00,24.6,24.6,21.2,81.35,0,0,,0,0,15.1,7.5,327,1012.9,59,15.7,0,0,0,,Partially cloudy,partly-cloudy-night,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-05T07:00:00,24.6,24.6,20.9,79.97,0,0,,0,0,16.6,5.1,349,1013.5,74.3,15.7,37,0.1,0,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-05T08:00:00,25.7,25.7,20.6,73.52,0,0,,0,0,18,12.2,341,1014,74.3,16,244,0.9,2,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-05T09:00:00,26.9,28.7,20.8,69.29,0,0,,0,0,18,12.3,354,1014,74.3,15.7,387,1.4,4,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-05T10:00:00,28.5,30.7,21.1,64.28,0,0,,0,0,18,10.2,360,1014,74.3,16,529,1.9,5,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-05T11:00:00,30,32.8,21.4,60.01,0,0,,0,0,17.3,7.6,18,1014,74.3,16,612,2.2,6,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-05T12:00:00,31.1,34,21.1,55.08,0,0,,0,0,17.3,8.3,320,1013.5,57,16,705,2.5,7,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-05T13:00:00,31.7,34.5,20.8,52.55,0,0,,0,0,17.6,9.7,8,1013.2,57,16,680,2.4,7,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-05T14:00:00,32.5,35.3,20.7,50.06,0,0,,0,0,18.7,11.5,36,1012.9,57,16,734,2.6,7,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
New York Queens,2023-09-05T15:00:00,32.8,35.8,20.9,49.84,0,0,,0,0,17.3,9.7,348,1012.6,74.3,16,501,1.8,5,,Partially cloudy,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
